output,type,embedded_in_manuscript,producer,run_command,writer_verified,clone_verified,notes
figures/ne2025_mw_characterization.pdf,figure,no,scripts/plot_ne2025_mw_properties.py,conda run -n flits python scripts/plot_ne2025_mw_properties.py,yes,reproduced_fixed_cmd,"ORPHAN (not embedded; only the _nside32 variant is). Default --nside 8 => empty suffix (L80), savefig L257-258. Faber2026-local. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): as written it dies at `import healpy`. the flits env (pipeline/environment.yml) supplies the deps; bare `python` is undefined for super-repo producers and pipeline/uv.lock lacks healpy."
figures/galaxies_cgm.pdf,figure,no,pipeline/galaxies/v2_0/systems_figures.py,cd pipeline && uv run python -m galaxies.foreground.sightline_budget && uv run python galaxies/v2_0/systems_figures.py --out-dir ../figures,candidate,reproduced_fixed_cmd,"Staged. Multi-fig script. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): Two defects found by execution: (a) an undeclared ordering dependency -- systems_figures.py reads results/sightline_dm_scattering_budget.csv, which only sightline_budget (module form) writes; (b) without --out-dir it writes to DEFAULT_OUT_DIR (galaxies/v2_0/systems_figures.py:76), a hardcoded /Users/jakobfaber/Developer/overleaf/Faber2026/figures path, so a bare run silently lands outside the repo. UPDATE 2026-07-09 (pin now 79eaf7e via 334cc74; Faber2026 #68 then #71): FLITS #148 fixed defect (b) -- DEFAULT_OUT_DIR is now repo-derived (os.path.join(os.path.dirname(_REPO), 'figures') at systems_figures.py:80), so a bare run lands inside the repo. Defect (a), the undeclared ordering dependency on sightline_budget writing results/sightline_dm_scattering_budget.csv, is unaffected and still stands. Clone-verification above was at 6c87890; not re-cloned at 334cc74 or at the current pin 79eaf7e. 79eaf7e is a one-commit descendant of 334cc74 (the zach C2D4 beta promotion) and touches no galaxies/v2_0 file, so the #148 fix is carried unchanged. UPDATE 2026-07-09 (pin now 14e0d1f, guards pin-bump PR; FLITS #156): one-commit descendant of 79eaf7e promoting the CHIME scintillation artifact-control guards; touches only scintillation/ and analysis/scintillation-dsa-lorentzian-2026-07-07/ -- no galaxies/, no emitters, no *_table_data.json -- so every claim verified at 79eaf7e carries unchanged."
figures/sightline_dm_scattering_budget.pdf,figure,no,pipeline/galaxies/foreground/sightline_budget.py,cd pipeline && uv run python -m galaxies.foreground.sightline_budget,candidate,wrong_output_path,"Staged. Same module emits the sightline_dm_scattering_budget.md/.csv budget text (L1104-1107). Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): the script form raises NameError: the direct-execution fallback at sightline_budget.py:61-65 imports MASS_PRIORITY but drops build_unified_records, which line 494 calls; the module (-m) form takes the relative-import branch and works. It writes pipeline/results/sightline_dm_scattering_budget.{csv,md,pdf,png,svg} -- the tracked figures/ copy is manual."
figures/jointmodel_montage.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/plot_jointmodel_montage.py,"cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/plot_jointmodel_montage.py ""${FLITS_RUNS:-/central/scratch/jfaber/flits-runs}/data/joint"" ../figures/jointmodel_montage",candidate,blocked_external_data,"Staged. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): takes two undocumented positional args (sys.argv[1] npz dir, sys.argv[2] out base) that the old command omitted, then globs *_jointmodel*.npz -- which exist only under /central/scratch/jfaber/flits-runs/data/joint. Not reproducible from a clone. RE-VERIFIED 2026-07-09 with a per-command marker (the first pass used an mtime comparison that false-positived on checkout timestamps): the previous cell used <npz_dir> <out_base>, which a shell parses as input redirections -- the command died with a syntax error before reaching the data check. Now shell-safe and honest about the two positional args. With them supplied it runs and fails on the absent npz tree (0 bursts globbed). Not reproducible from a clone."
figures/alpha_pbf_systematic.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/plot_alpha_pbf_systematic.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/plot_alpha_pbf_systematic.py,yes,reproduced,"Staged (alpha-limit language parked). savefig L189 (stem+ext loop). Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): regenerates into the clone."
figures/chime_subband_compare.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/chime_subband_compare.py,cd pipeline/analysis/scattering-refit-2026-06 && PYTHONPATH=.:../../scattering conda run -n flits python chime_subband_compare.py,candidate,blocked_external_data,"Staged. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): needs pipeline/scattering on sys.path (for scat_analysis) and then /central/scratch/jfaber/flits-runs/configs/johndoeII_chime_run.yaml. Not reproducible from a clone. RE-VERIFIED 2026-07-09 with a per-command marker (the first pass used an mtime comparison that false-positived on checkout timestamps): the command now carries the cwd and PYTHONPATH the run actually needs (for _figsave and scat_analysis), so it reaches the real failure -- the missing /central/scratch/jfaber/flits-runs/configs/johndoeII_chime_run.yaml -- instead of an unrelated ImportError. Not reproducible from a clone."
figures/subband_tau_validation_grid.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/joint_ladder/_subband_tau_validation.py,cd pipeline/analysis/scattering-refit-2026-06 && PYTHONPATH=.:../../scattering conda run -n flits python joint_ladder/_subband_tau_validation.py,candidate,blocked_external_data,"Staged. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): run from analysis/scattering-refit-2026-06 with PYTHONPATH=.:../../scattering to satisfy _figsave and scat_analysis; it then blocks on /central/scratch/jfaber/flits-runs/data/joint/subband_tau_validation.json. Not reproducible from a clone. RE-VERIFIED 2026-07-09 with a per-command marker (the first pass used an mtime comparison that false-positived on checkout timestamps): the command now carries the cwd and PYTHONPATH the run needs, so it reaches the real failure -- missing /central/scratch/jfaber/flits-runs/configs/*_chime_run.yaml. Not reproducible from a clone."
figures/codetection_scint_excess.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/scint_census/figbank.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/scint_census/figbank.py,candidate,blocked_external_data,"figbank.py is a multi-figure bank. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): figbank.py:22 reads scint_census/data/scint/wilhelm_scint_subband.json; scint_census/data/ has 0 tracked files. Not reproducible from a clone."
figures/pbf_shapes.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/scint_census/figbank.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/scint_census/figbank.py,candidate,blocked_external_data,"Via figbank. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): blocked at figbank.py:22 on the untracked scint_census/data/ tree. Not reproducible from a clone."
figures/wilhelm_pbf_evidence.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/scint_census/figbank.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/scint_census/figbank.py,candidate,blocked_external_data,"wilhelm=FRB20221203A. Via figbank. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): blocked at figbank.py:22 on the untracked scint_census/data/ tree. Not reproducible from a clone."
figures/wilhelm_scint_dnud_ne2025.pdf,figure,no,pipeline/analysis/scattering-refit-2026-06/scint_census/figbank.py,cd pipeline && conda run -n flits python analysis/scattering-refit-2026-06/scint_census/figbank.py,candidate,blocked_external_data,"wilhelm=FRB20221203A. Via figbank. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): blocked at figbank.py:22 on the untracked scint_census/data/ tree. Not reproducible from a clone."
figures/systematics_check_matrix.pdf,figure,no,pipeline/crossmatching/plotting.py,cd pipeline && uv run python crossmatching/plotting.py,candidate,wrong_output_path,"Multi-fig module. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): the multi-figure module runs clean and writes this stem into the clone. RE-VERIFIED 2026-07-09 with a per-command marker (the first pass used an mtime comparison that false-positived on checkout timestamps): CORRECTION -- previously scored 'reproduced' in error. crossmatching/plotting.py:261 writes to Path(__file__).parent, i.e. pipeline/crossmatching/, and exposes no output argument. The declared figures/ copy is never touched; it must be copied by hand or the module given an --out-dir."
figures/toa_crossmatch_analysis_premium.pdf,figure,no,pipeline/crossmatching/plotting.py,cd pipeline && uv run python crossmatching/plotting.py,candidate,wrong_output_path,"Multi-fig module. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): the multi-figure module runs clean and writes this stem into the clone. RE-VERIFIED 2026-07-09 with a per-command marker (the first pass used an mtime comparison that false-positived on checkout timestamps): CORRECTION -- previously scored 'reproduced' in error. Same cause as systematics_check_matrix.pdf: crossmatching/plotting.py writes both PDFs into pipeline/crossmatching/, never into figures/."
figures/freya_dsa_gamma_summary.pdf,figure,no,pipeline/scintillation/scint_analysis/plotting.py::plot_subband_gamma_summary,(no committed CLI caller; run plot_subband_gamma_summary with save_path against scintillation/configs/bursts/freya_dsa.yaml Lorentzian fits),candidate,no_command,"RESOLVED to producing function via commit 18fbe98 ('freya DSA gamma(nu) summary — manuscript export'): plot_subband_gamma_summary (FLITS #130), run at pinned submodule 25b8cc6 with freya_dsa.yaml fits. save_path is caller-supplied; no committed script passes the freya_dsa_gamma_summary stem. freya=FRB20230325A. Submodule. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): nothing to execute -- still no committed CLI caller passing this stem."
figures/whitney_multiplicity.pdf,figure,no,(unresolved — committed as binary),(unknown),unresolved,no_command,"Committed as a binary copy-in (commit 438825f, alongside alpha_pbf_systematic.pdf); no producer script in the current tree. Framed (commit b96aa29) as whitney's 1-component multiplicity demo illustrating the [1.5,6.0] prior (alpha rails to 1.5); whitney stays 2-component canonical. Likely a local/HPC burstfit run not committed. whitney=FRB20220310F. Needs author confirmation. Submodule scope. CLONE-VERIFIED 2026-07-09 (fresh clone, super-repo 733a369 x pipeline 6c87890): nothing to execute -- no producer in the tree."
figures/codetection_gallery.pdf,figure,no,scripts/plot_codetection_gallery.py,conda run -n flits python scripts/plot_codetection_gallery.py,yes,blocked_external_data,"NEW 2026-07-09 (fig:codetection-gallery, sec:data): unified 12-burst gallery, DSA+CHIME dedispersed Stokes-I waterfalls + band profiles, raw data only (no fit products; trust-reset safe). savefig loop emits pdf/svg/png triplet. Inputs: 24 local ~/Data/Faber2026/dsa110/DSA_bursts/*_cntr_bpc.npy + pipeline/configs/bursts.yaml (MJD order) — external data tree, so a fresh clone cannot run it (hence blocked_external_data); deterministic (no RNG) given those inputs. Panels display instrument-optimized DMs baked into the products (filename DM stems; CHIME differs from DSA at the 0.01-0.15 pc/cm3 level). Unit tests: tests/test_codetection_gallery.py (incl. nickname->TNS parity vs pipeline burst_metadata, guarding the mahi 20240119A mislabel). Design doc: docs/rse/specs/plan-unified-12burst-figure.md. Faber2026-local."
figures/codetection_triptych/*_triptych.pdf,figure,yes,scripts/plot_codetection_triptych.py,conda run -n flits python scripts/plot_codetection_triptych.py,yes,blocked_external_data,"NEW 2026-07-11 (fig:codetection-triptych-*, sec:data): per-burst data|model|resid triptychs (chromatica data-only). Inputs: figures/jointmodel_pair/fit_artifacts/*jointmodel*.npz + chromatica from ~/Data/.../DSA_bursts. Manifest scripts/jointmodel_triptych_manifest.yaml. show_model_on_data=False; CHIME-width pad. Replaces compact gallery as Fig. 1. tests/test_codetection_triptych.py. Faber2026-local."
